*	* |
phắn	PHI AN3_5 NC_5 |
phấm	PHI ÂN_5 MC_5 |
vưc	VI ƯN_0 KC_0 |
tuôi	TI UÔN_0 IC_0 |
đãn	DI AN2_3 NC_3 |
quàn	KI UÔN_4 NC_4 |
chắng	CHI AN3_5 NGC_5 |
ngưạ	NGI ƯƠN_1 |
trện	TRI ÊN_1 NC_1 |
dẵm	ZI AN3_3 MC_3 |
giõng	ZI ON1_3 NGC_3 |
trng	TRI NGC_0 |
iên	IÊN_0 NC_0 |
bưới	BI ƯƠN_5 IC_5 |
phìu	PHI IN_4 UC_4 |
ghai	GI AN2_0 IC_0 |
dé	ZI EN_5 |
òi	ON2_4 IC_4 |
got	GI ON2_0 TC_0 |
phéo	PHI EN_5 UC_5 |
oe	WO_0 EN_0 |
nghẻ	NGI EN_2 |
dom	ZI ON2_0 MC_0 |
khở	KHI ƠC_2 |
sênh	SI ÊN_0 NGC_0 |
dịnh	ZI IN_1 NGC_1 |
lịt	LI IN_1 TC_1 |
đêu	DI ÊN_0 UC_0 |
muố	MI UÔN_5 |
tech	TI EN_0 KC_0 |
dec	ZI EN_0 KC_0 |
quit	KI WO_0 IN_0 TC_0 |
ey	EN_0 YC_0 |
xò	XI ON2_4 |
tén	TI EN_5 NC_5 |
giếc	ZI ÊN_5 KC_5 |
chàu	CHI AN3_4 UC_4 |
duo	ZI UN_0 UC_0 |
dên	ZI ÊN_0 NC_0 |
tèng	TI EN_4 NGC_4 |
êi	ÊN_0 IC_0 |
giôm	ZI ÔN_0 MC_0 |
hm	HI MC_0 |
chậc	CHI ÂN_1 KC_1 |
tưa	TI ƯƠN_0 |
hị	HI IN_1 |
trip	TRI IN_0 PC_0 |
sụng	SI UN_1 NGC_1 |
đé	DI EN_5 |
máp	MI AN2_5 PC_5 |
ngặn	NGI AN3_1 NC_1 |
lờm	LI ƠN_4 MC_4 |
truê	TRI WO_0 ÊN_0 |
dọp	ZI ON2_1 PC_1 |
rềnh	RI ÊN_4 NGC_4 |
mế	MI ÊN_5 |
dẩy	ZI ÂN_2 YC_2 |
vc	VI KC_0 |
dạch	ZI AN1_1 KC_1 |
vìa	VI IAN_4 |
gun	GI UN_0 NC_0 |
ghuôn	GI UÔN_0 NC_0 |
suộc	SI UÔN_1 KC_1 |
đựt	DI ƯN_1 TC_1 |
khoàng	KHI WO_4 AN1_4 NGC_4 |
chớt	CHI ƠN_5 TC_5 |
gion	ZI ON2_0 NC_0 |
giớn	ZI ƠN_5 NC_5 |
git	ZI TC_0 |
gho	GI ON2_0 |
ấ	ÂN_5 |
nhiễn	NHI IÊN_3 NC_3 |
khoẳng	KHI WO_2 AN3_2 NGC_2 |
cợn	KI ƠN_1 NC_1 |
hươn	HI ƯƠN_0 NC_0 |
đạy	DI AN3_1 YC_1 |
trép	TRI EN_5 PC_5 |
phầ	PHI ÂN_4 |
thưc	THI ƯN_0 KC_0 |
họi	HI ON2_1 IC_1 |
huổi	HI UÔN_2 IC_2 |
nghí	NGI IN_5 |
muổng	MI UÔN_2 NGC_2 |
thing	THI IN_0 NGC_0 |
qué	KI WO_5 EN_5 |
xom	XI ON2_0 MC_0 |
hooc	HI WO_0 ON1_0 KC_0 |
bưn	BI ƯN_0 NC_0 |
nghiếc	NGI IÊN_5 KC_5 |
tríp	TRI IN_5 PC_5 |
xêm	XI ÊN_0 MC_0 |
bừ	BI ƯC_4 |
ghoai	GI WO_0 AN2_0 IC_0 |
rặt	RI AN3_1 TC_1 |
ngoẹ	NGI WO_1 EN_1 |
uốc	UÔN_5 KC_5 |
nghọe	NGI WO_1 EN_1 |
nghoèo	NGI WO_4 EN_4 UC_4 |
lượi	LI ƯƠN_1 IC_1 |
duân	ZI WO_0 ÂN_0 NC_0 |
boom	BI WO_0 ON2_0 MC_0 |
hoach	HI WO_0 AN1_0 KC_0 |
vầ	VI ÂN_4 |
muốc	MI UÔN_5 KC_5 |
cẳn	KI AN3_2 NC_2 |
día	ZI IAN_5 |
trễm	TRI ÊN_3 MC_3 |
xục	XI UN_1 KC_1 |
lei	LI EN_0 IC_0 |
đự	DI ƯC_1 |
kp	KI PC_0 |
truông	TRI UÔN_0 NGC_0 |
dựu	ZI ƯN_1 UC_1 |
riệp	RI IÊN_1 PC_1 |
câp	KI ÂN_0 PC_0 |
loy	LI ON2_0 YC_0 |
phuy	PHI UN_0 YC_0 |
vư	VI ƯC_0 |
rính	RI IN_5 NGC_5 |
phám	PHI AN2_5 MC_5 |
thựt	THI ƯN_1 TC_1 |
troong	TRI WO_0 ON1_0 NGC_0 |
òn	ON2_4 NC_4 |
khỏan	KHI WO_2 AN2_2 NC_2 |
lứt	LI ƯN_5 TC_5 |
gỉa	ZI AN2_2 |
úm	UN_5 MC_5 |
sec	SI EN_0 KC_0 |
tạn	TI AN2_1 NC_1 |
ngằn	NGI AN3_4 NC_4 |
cop	KI ON2_0 PC_0 |
sớp	SI ƠN_5 PC_5 |
cãy	KI AN3_3 YC_3 |
sễ	SI ÊN_3 |
sêm	SI ÊN_0 MC_0 |
vễ	VI ÊN_3 |
caí	KI AN2_5 IC_5 |
cháp	CHI AN2_5 PC_5 |
niê	NI IÊN_0 |
đưu	DI ƯN_0 UC_0 |
gớp	GI ƠN_5 PC_5 |
néo	NI EN_5 UC_5 |
têch	TI ÊN_0 KC_0 |
gau	GI AN3_0 UC_0 |
chuôm	CHI UÔN_0 MC_0 |
trich	TRI IN_0 KC_0 |
thưng	THI ƯN_0 NGC_0 |
kit	KI IN_0 TC_0 |
coo	KI ON2_0 UC_0 |
căt	KI AN3_0 TC_0 |
hac	HI AN1_0 KC_0 |
ộng	ÔN_1 NGC_1 |
khuẩy	KHI WO_2 ÂN_2 YC_2 |
mốn	MI ÔN_5 NC_5 |
vịêt	VI IÊN_1 TC_1 |
nhâp	NHI ÂN_0 PC_0 |
vam	VI AN2_0 MC_0 |
thàu	THI AN3_4 UC_4 |
đứn	DI ƯN_5 NC_5 |
sc	SI KC_0 |
mườ	MI ƯN_4 ƠC_4 |
lữu	LI ƯN_3 UC_3 |
cc	KI KC_0 |
hóoc	HI WO_5 ON1_5 KC_5 |
èm	EN_4 MC_4 |
thiệ	THI IÊN_1 |
néc	NI EN_5 KC_5 |
phem	PHI EN_0 MC_0 |
chuýt	CHI WO_5 IN_5 TC_5 |
nhếp	NHI ÊN_5 PC_5 |
sãn	SI AN2_3 NC_3 |
viến	VI IÊN_5 NC_5 |
khóan	KHI WO_5 AN2_5 NC_5 |
ghìn	GI IN_4 NC_4 |
mât	MI ÂN_0 TC_0 |
vấu	VI ÂN_5 UC_5 |
lám	LI AN2_5 MC_5 |
qùa	KI UÔN_4 |
đoc	DI ON1_0 KC_0 |
ngừi	NGI ƯN_4 IC_4 |
tiê	TI IÊN_0 |
giậy	ZI ÂN_1 YC_1 |
chôi	CHI ÔN_0 IC_0 |
lơp	LI ƠN_0 PC_0 |
dut	ZI UN_0 TC_0 |
quao	KI UÔN_0 UC_0 |
ẳn	AN3_2 NC_2 |
xoán	XI WO_5 AN2_5 NC_5 |
hya	HI YAN_0 |
gầu	GI ÂN_4 UC_4 |
thooc	THI WO_0 ON1_0 KC_0 |
nhiu	NHI IN_0 UC_0 |
hap	HI AN2_0 PC_0 |
tếc	TI ÊN_5 KC_5 |
thoan	THI WO_0 AN2_0 NC_0 |
trột	TRI ÔN_1 TC_1 |
hữa	HI ƯƠN_3 |
giẫu	ZI ÂN_3 UC_3 |
trèn	TRI EN_4 NC_4 |
sại	SI AN2_1 IC_1 |
tổi	TI ÔN_2 IC_2 |
tuê	TI WO_0 ÊN_0 |
ạnh	AN1_1 NGC_1 |
thoàng	THI WO_4 AN1_4 NGC_4 |
goài	GI WO_4 AN2_4 IC_4 |
nèo	NI EN_4 UC_4 |
hue	HI WO_0 EN_0 |
phỏm	PHI ON2_2 MC_2 |
boy	BI ON2_0 YC_0 |
dười	ZI ƯƠN_4 IC_4 |
khộng	KHI ÔN_1 NGC_1 |
giạy	ZI AN3_1 YC_1 |
khự	KHI ƯC_1 |
sế	SI ÊN_5 |
ằn	AN3_4 NC_4 |
phăm	PHI AN3_0 MC_0 |
trộ	TRI ÔN_1 |
dức	ZI ƯN_5 KC_5 |
cuổi	KI UÔN_2 IC_2 |
choạp	CHI WO_1 AN2_1 PC_1 |
nhính	NHI IN_5 NGC_5 |
gòao	GI WO_4 AN2_4 UC_4 |
xệt	XI ÊN_1 TC_1 |
ruỳ	RI UN_4 YC_4 |
bing	BI IN_0 NGC_0 |
bâm	BI ÂN_0 MC_0 |
vim	VI IN_0 MC_0 |
ghớm	GI ƠN_5 MC_5 |
khính	KHI IN_5 NGC_5 |
xực	XI ƯN_1 KC_1 |
síu	SI IN_5 UC_5 |
ngiên	NGI IÊN_0 NC_0 |
thoóch	THI WO_5 ON1_5 KC_5 |
bậnh	BI ÂN_1 NGC_1 |
huẩn	HI WO_2 ÂN_2 NC_2 |
goem	GI WO_0 EN_0 MC_0 |
ghuýt	GI WO_5 IN_5 TC_5 |
ghoen	GI WO_0 EN_0 NC_0 |
lếc	LI ÊN_5 KC_5 |
nị	NI IN_1 |
béch	BI EN_5 KC_5 |
rốch	RI ÔN_5 KC_5 |
géc	GI EN_5 KC_5 |
ghích	GI IN_5 KC_5 |
đượt	DI ƯƠN_1 TC_1 |
súi	SI UN_5 IC_5 |
vầu	VI ÂN_4 UC_4 |
qùy	KI UN_4 YC_4 |
nou	NI ON2_0 UC_0 |
uốt	UÔN_5 TC_5 |
ghên	GI ÊN_0 NC_0 |
giứt	ZI ƯN_5 TC_5 |
qu	KI UN_0 |
đoảng	DI WO_2 AN1_2 NGC_2 |
niều	NI IÊN_4 UC_4 |
kn	KI NC_0 |
đóoc	DI WO_5 ON1_5 KC_5 |
tẽn	TI EN_3 NC_3 |
doe	ZI WO_0 EN_0 |
hừn	HI ƯN_4 NC_4 |
hượng	HI ƯƠN_1 NGC_1 |
bíp	BI IN_5 PC_5 |
ngĩa	NGI IAN_3 |
hơm	HI ƠN_0 MC_0 |
ghoeo	GI WO_0 EN_0 UC_0 |
hoát	HI WO_5 AN2_5 TC_5 |
trẽ	TRI EN_3 |
gôu	GI ÔN_0 UC_0 |
châp	CHI ÂN_0 PC_0 |
găn	GI AN3_0 NC_0 |
phot	PHI ON2_0 TC_0 |
huận	HI WO_1 ÂN_1 NC_1 |
ruyt	RI WO_0 IN_0 TC_0 |
trat	TRI AN2_0 TC_0 |
thiệm	THI IÊN_1 MC_1 |
nhên	NHI ÊN_0 NC_0 |
nhụ	NHI UN_1 |
vuon	VI WO_0 ON2_0 NC_0 |
giay	ZI AN3_0 YC_0 |
ghoa	GI WO_0 AN2_0 |
mừi	MI ƯN_4 IC_4 |
côt	KI ÔN_0 TC_0 |
cại	KI AN2_1 IC_1 |
xuốt	XI UÔN_5 TC_5 |
op	ON2_0 PC_0 |
lenh	LI EN_0 NGC_0 |
that	THI AN2_0 TC_0 |
uoc	WO_0 ON1_0 KC_0 |
ghuê	GI WO_0 ÊN_0 |
chiệt	CHI IÊN_1 TC_1 |
oay	WO_0 AN3_0 YC_0 |
suat	SI UÔN_0 TC_0 |
sut	SI UN_0 TC_0 |
óep	WO_5 EN_5 PC_5 |
buoc	BI WO_0 ON1_0 KC_0 |
thip	THI IN_0 PC_0 |
mach	MI AN1_0 KC_0 |
dựn	ZI ƯN_1 NC_1 |
xec	XI EN_0 KC_0 |
bêch	BI ÊN_0 KC_0 |
thâỳ	THI ÂN_4 YC_4 |
liệc	LI IÊN_1 KC_1 |
uých	WO_5 IN_5 KC_5 |
bâ	BI ÂN_0 |
boc	BI ON1_0 KC_0 |
xep	XI EN_0 PC_0 |
xệp	XI ÊN_1 PC_1 |
dânh	ZI ÂN_0 NGC_0 |
roe	RI WO_0 EN_0 |
xii	XI IN_0 IC_0 |
đâý	DI ÂN_5 YC_5 |
giựa	ZI ƯƠN_1 |
tắng	TI AN3_5 NGC_5 |
noc	NI ON1_0 KC_0 |
troen	TRI WO_0 EN_0 NC_0 |
vuong	VI WO_0 ON1_0 NGC_0 |
mt	MI TC_0 |
nhưư	NHI ƯN_0 ƯC_0 |
muăng	MI WO_0 AN3_0 NGC_0 |
chợn	CHI ƠN_1 NC_1 |
yy	IN_0 YC_0 |
chĩnh	CHI IN_3 NGC_3 |
quyay	KI WO_0 YAN_0 YC_0 |
dõ	ZI ON2_3 |
qoả	KI WO_2 AN2_2 |
đêo	DI ÊN_0 UC_0 |
truim	TRI WO_0 IN_0 MC_0 |
nuoi	NI WO_0 ON2_0 IC_0 |
seu	SI EN_0 UC_0 |
sẵ	SI AN3_3 |
ruoi	RI WO_0 ON2_0 IC_0 |
hùynh	HI WO_4 IN_4 NGC_4 |
thei	THI EN_0 IC_0 |
buc	BI UN_0 KC_0 |
uôm	UÔN_0 MC_0 |
bớn	BI ƠN_5 NC_5 |
rài	RI AN2_4 IC_4 |
phến	PHI ÊN_5 NC_5 |
giăm	ZI AN3_0 MC_0 |
toài	TI WO_4 AN2_4 IC_4 |
nọn	NI ON2_1 NC_1 |
tẽ	TI EN_3 |
nĩa	NI IAN_3 |
phổng	PHI ÔN_2 NGC_2 |
xuyệt	XI WO_1 YÊN_1 TC_1 |
đúm	DI UN_5 MC_5 |
xớ	XI ƠC_5 |
xộp	XI ÔN_1 PC_1 |
rộc	RI ÔN_1 KC_1 |
chựng	CHI ƯN_1 NGC_1 |
mứa	MI ƯƠN_5 |
nâm	NI ÂN_0 MC_0 |
ẹm	EN_1 MC_1 |
phính	PHI IN_5 NGC_5 |
bương	BI ƯƠN_0 NGC_0 |
đoòng	DI WO_4 ON1_4 NGC_4 |
kyo	KI IN_0 UC_0 |
nhôn	NHI ÔN_0 NC_0 |
sướn	SI ƯƠN_5 NC_5 |
sẽo	SI EN_3 UC_3 |
cặc	KI AN3_1 KC_1 |
vản	VI AN2_2 NC_2 |
quớt	KI WO_5 ƠN_5 TC_5 |
sềnh	SI ÊN_4 NGC_4 |
sệch	SI ÊN_1 KC_1 |
phọng	PHI ON1_1 NGC_1 |
ngếch	NGI ÊN_5 KC_5 |
luyền	LI WO_4 YÊN_4 NC_4 |
ngãnh	NGI AN1_3 NGC_3 |
ngương	NGI ƯƠN_0 NGC_0 |
nòn	NI ON2_4 NC_4 |
thẩ	THI ÂN_2 |
cẩ	KI ÂN_2 |
huyng	HI WO_0 IN_0 NGC_0 |
hỏ	HI ON2_2 |
xuâ	XI WO_0 ÂN_0 |
miễm	MI IÊN_3 MC_3 |
miêm	MI IÊN_0 MC_0 |
quyêt	KI WO_0 YÊN_0 TC_0 |
bứu	BI ƯN_5 UC_5 |
ngõan	NGI WO_3 AN2_3 NC_3 |
nhớm	NHI ƠN_5 MC_5 |
nhit	NHI IN_0 TC_0 |
biều	BI IÊN_4 UC_4 |
nhoe	NHI WO_0 EN_0 |
nhoét	NHI WO_5 EN_5 TC_5 |
tẩt	TI ÂN_2 TC_2 |
thuội	THI UÔN_1 IC_1 |
nươi	NI ƯƠN_0 IC_0 |
liểm	LI IÊN_2 MC_2 |
thiế	THI IÊN_5 |
nghoảnh	NGI WO_2 AN1_2 NGC_2 |
khúât	KHI WO_5 ÂN_5 TC_5 |
tượn	TI ƯƠN_1 NC_1 |
laỵ	LI AN3_1 YC_1 |
luô	LI UÔN_0 |
nguyệ	NGI WO_1 YÊN_1 |
nguươi	NGI WO_0 ƯƠN_0 IC_0 |
gượn	GI ƯƠN_1 NC_1 |
rấc	RI ÂN_5 KC_5 |
trâng	TRI ÂN_0 NGC_0 |
khầu	KHI ÂN_4 UC_4 |
donh	ZI ON1_0 NGC_0 |
cứi	KI ƯN_5 IC_5 |
hền	HI ÊN_4 NC_4 |
qau	KI AN3_0 UC_0 |
ghiềm	GI IÊN_4 MC_4 |
oắc	WO_5 AN3_5 KC_5 |
hiễn	HI IÊN_3 NC_3 |
uyết	WO_5 YÊN_5 TC_5 |
quịt	KI WO_1 IN_1 TC_1 |
dịa	ZI IAN_1 |
buá	BI UÔN_5 |
giữan	ZI ƯƠN_3 NC_3 |
gịong	ZI ON1_1 NGC_1 |
sap	SI AN2_0 PC_0 |
hươi	HI ƯƠN_0 IC_0 |
đuà	DI UÔN_4 |
chuẫn	CHI WO_3 ÂN_3 NC_3 |
bạng	BI AN1_1 NGC_1 |
giâ	ZI ÂN_0 |
riệc	RI IÊN_1 KC_1 |
đât	DI ÂN_0 TC_0 |
đuội	DI UÔN_1 IC_1 |
vúi	VI UN_5 IC_5 |
hiễu	HI IÊN_3 UC_3 |
đãc	DI AN1_3 KC_3 |
cóăn	KI WO_5 AN3_5 NC_5 |
ngâ	NGI ÂN_0 |
phãi	PHI AN2_3 IC_3 |
gường	GI ƯƠN_4 NGC_4 |
ngủa	NGI UÔN_2 |
thọat	THI WO_1 AN2_1 TC_1 |
nhảo	NHI AN2_2 UC_2 |
khuéch	KHI WO_5 EN_5 KC_5 |
líêc	LI IÊN_5 KC_5 |
họan	HI WO_1 AN2_1 NC_1 |
khổn	KHI ÔN_2 NC_2 |
gách	GI AN1_5 KC_5 |
thoã	THI WO_3 AN2_3 |
tền	TI ÊN_4 NC_4 |
qụat	KI UÔN_1 TC_1 |
tuúi	TI WO_5 UN_5 IC_5 |
phựt	PHI ƯN_1 TC_1 |
ườn	ƯƠN_4 NC_4 |
nháng	NHI AN1_5 NGC_5 |
cùnh	KI UN_4 NGC_4 |
đuộc	DI UÔN_1 KC_1 |
ngắng	NGI AN3_5 NGC_5 |
ơỡ	ƠN_3 ƠC_3 |
giạt	ZI AN2_1 TC_1 |
kìêm	KI IÊN_4 MC_4 |
trẹ	TRI EN_1 |
oàng	WO_4 AN1_4 NGC_4 |
ngở	NGI ƠC_2 |
iả	IAN_2 |
mưứ	MI ƯN_5 ƯC_5 |
hởm	HI ƠN_2 MC_2 |
phặp	PHI AN3_1 PC_1 |
ngồ	NGI ÔN_4 |
trản	TRI AN2_2 NC_2 |
xậm	XI ÂN_1 MC_1 |
rướu	RI ƯƠN_5 UC_5 |
rứng	RI ƯN_5 NGC_5 |
nhoai	NHI WO_0 AN2_0 IC_0 |
xuóng	XI WO_5 ON1_5 NGC_5 |
chuế	CHI WO_5 ÊN_5 |
gịuc	ZI UN_1 KC_1 |
gúo	GI UN_5 UC_5 |
ngốt	NGI ÔN_5 TC_5 |
xoại	XI WO_1 AN2_1 IC_1 |
niễng	NI IÊN_3 NGC_3 |
gống	GI ÔN_5 NGC_5 |
noản	NI WO_2 AN2_2 NC_2 |
bướt	BI ƯƠN_5 TC_5 |
gôi	GI ÔN_0 IC_0 |
nẹn	NI EN_1 NC_1 |
dẩu	ZI ÂN_2 UC_2 |
quến	KI WO_5 ÊN_5 NC_5 |
luăng	LI WO_0 AN3_0 NGC_0 |
luỗng	LI UÔN_3 NGC_3 |
ngẫn	NGI ÂN_3 NC_3 |
nghên	NGI ÊN_0 NC_0 |
xửng	XI ƯN_2 NGC_2 |
vửng	VI ƯN_2 NGC_2 |
nũ	NI UN_3 |
thuông	THI UÔN_0 NGC_0 |
hánh	HI AN1_5 NGC_5 |
nủng	NI UN_2 NGC_2 |
cãng	KI AN1_3 NGC_3 |
chuỵên	CHI WO_1 YÊN_1 NC_1 |
nhượt	NHI ƯƠN_1 TC_1 |
vều	VI ÊN_4 UC_4 |
trằng	TRI AN3_4 NGC_4 |
bồm	BI ÔN_4 MC_4 |
rịm	RI IN_1 MC_1 |
lựt	LI ƯN_1 TC_1 |
chêng	CHI ÊN_0 NGC_0 |
hunh	HI UN_0 NGC_0 |
giãu	ZI AN3_3 UC_3 |
tiểi	TI IÊN_2 IC_2 |
ghèn	GI EN_4 NC_4 |
muón	MI WO_5 ON2_5 NC_5 |
hoặt	HI WO_1 AN3_1 TC_1 |
xuỵt	XI WO_1 IN_1 TC_1 |
biệu	BI IÊN_1 UC_1 |
hẫu	HI ÂN_3 UC_3 |
vỏi	VI ON2_2 IC_2 |
họm	HI ON2_1 MC_1 |
hẹm	HI EN_1 MC_1 |
tờm	TI ƠN_4 MC_4 |
ngé	NGI EN_5 |
đãnh	DI AN1_3 NGC_3 |
chy	CHI IN_0 |
lonh	LI ON1_0 NGC_0 |
nhỏi	NHI ON2_2 IC_2 |
noí	NI ON2_5 IC_5 |
chĩu	CHI IN_3 UC_3 |
giuúp	ZI WO_5 UN_5 PC_5 |
mỉu	MI IN_2 UC_2 |
ngũi	NGI UN_3 IC_3 |
duột	ZI UÔN_1 TC_1 |
vọi	VI ON2_1 IC_1 |
lỉa	LI IAN_2 |
bưc	BI ƯN_0 KC_0 |
chuán	CHI UÔN_5 NC_5 |
chuáng	CHI UÔN_5 NGC_5 |
mỉnh	MI IN_2 NGC_2 |
ngươc	NGI ƯƠN_0 KC_0 |
đãy	DI AN3_3 YC_3 |
chunh	CHI UN_0 NGC_0 |
rấu	RI ÂN_5 UC_5 |
trứơc	TRI ƯƠN_5 KC_5 |
chuội	CHI UÔN_1 IC_1 |
mầng	MI ÂN_4 NGC_4 |
ngỗn	NGI ÔN_3 NC_3 |
ruộc	RI UÔN_1 KC_1 |
kúc	KI UN_5 KC_5 |
từo	TI ƯN_4 UC_4 |
nhượ	NHI ƯN_1 ƠC_1 |
thên	THI ÊN_0 NC_0 |
trồm	TRI ÔN_4 MC_4 |
xĩa	XI IAN_3 |
gọc	GI ON1_1 KC_1 |
hìa	HI IAN_4 |
tướt	TI ƯƠN_5 TC_5 |
giởn	ZI ƠN_2 NC_2 |
xẫm	XI ÂN_3 MC_3 |
kữ	KI ƯC_3 |
gặ	GI AN3_1 |
huyênh	HI WO_0 YÊN_0 NGC_0 |
luỉ	LI UN_2 IC_2 |
xúông	XI UÔN_5 NGC_5 |
biệ	BI IÊN_1 |
chiỉ	CHI IN_2 IC_2 |
trền	TRI ÊN_4 NC_4 |
lẽm	LI EN_3 MC_3 |
hụê	HI WO_1 ÊN_1 |
saỏ	SI AN2_2 UC_2 |
chãy	CHI AN3_3 YC_3 |
vữang	VI ƯƠN_3 NGC_3 |
nhẳn	NHI AN3_2 NC_2 |
tuừ	TI UN_4 ƯC_4 |
sược	SI ƯƠN_1 KC_1 |
hoáng	HI WO_5 AN1_5 NGC_5 |
guơm	GI WO_0 ƠN_0 MC_0 |
đẹ	DI EN_1 |
xấn	XI ÂN_5 NC_5 |
xọ	XI ON2_1 |
nảo	NI AN2_2 UC_2 |
câỵ	KI ÂN_1 YC_1 |
ngoặm	NGI WO_1 AN3_1 MC_1 |
sãng	SI AN1_3 NGC_3 |
tửi	TI ƯN_2 IC_2 |
xiệc	XI IÊN_1 KC_1 |
khứng	KHI ƯN_5 NGC_5 |
gọp	GI ON2_1 PC_1 |
qùi	KI UN_4 IC_4 |
chíên	CHI IÊN_5 NC_5 |
vịi	VI IN_1 IC_1 |
mệng	MI ÊN_1 NGC_1 |
khunh	KHI UN_0 NGC_0 |
đệu	DI ÊN_1 UC_1 |
đườ	DI ƯN_4 ƠC_4 |
riễu	RI IÊN_3 UC_3 |
qân	KI ÂN_0 NC_0 |
vũi	VI UN_3 IC_3 |
bứơu	BI ƯƠN_5 UC_5 |
trử	TRI ƯC_2 |
nhếc	NHI ÊN_5 KC_5 |
vộu	VI ÔN_1 UC_1 |
going	GI WO_0 IN_0 NGC_0 |
luyệt	LI WO_1 YÊN_1 TC_1 |
nhuưng	NHI WO_0 ƯN_0 NGC_0 |
nghic	NGI IN_0 KC_0 |
chuyệt	CHI WO_1 YÊN_1 TC_1 |
hính	HI IN_5 NGC_5 |
chỏang	CHI WO_2 AN1_2 NGC_2 |
tểnh	TI ÊN_2 NGC_2 |
dắn	ZI AN3_5 NC_5 |
dâỵ	ZI ÂN_1 YC_1 |
dống	ZI ÔN_5 NGC_5 |
kừn	KI ƯN_4 NC_4 |
bĩ	BI IN_3 |
ãi	AN2_3 IC_3 |
thuương	THI WO_0 ƯƠN_0 NGC_0 |
bững	BI ƯN_3 NGC_3 |
naò	NI AN2_4 UC_4 |
sìu	SI IN_4 UC_4 |
chng	CHI NGC_0 |
thớn	THI ƠN_5 NC_5 |
giiờ	ZI IN_4 ƠC_4 |
dnh	ZI NGC_0 |
lõe	LI WO_3 EN_3 |
chượt	CHI ƯƠN_1 TC_1 |
hịnh	HI IN_1 NGC_1 |
saọ	SI AN2_1 UC_1 |
miểng	MI IÊN_2 NGC_2 |
maụ	MI AN3_1 UC_1 |
ởi	ƠN_2 IC_2 |
hỳ	HI IN_4 |
hật	HI ÂN_1 TC_1 |
lẫo	LI ÂN_3 UC_3 |
xoen	XI WO_0 EN_0 NC_0 |
xoét	XI WO_5 EN_5 TC_5 |
trãng	TRI AN1_3 NGC_3 |
nẫn	NI ÂN_3 NC_3 |
nhòai	NHI WO_4 AN2_4 IC_4 |
kiả	KI IAN_2 |
tởn	TI ƠN_2 NC_2 |
mắy	MI AN3_5 YC_5 |
ẩy	ÂN_2 YC_2 |
sồm	SI ÔN_4 MC_4 |
soàm	SI WO_4 AN2_4 MC_4 |
thỏai	THI WO_2 AN2_2 IC_2 |
bíên	BI IÊN_5 NC_5 |
lụm	LI UN_1 MC_1 |
gẳ	GI AN3_2 |
koong	KI WO_0 ON1_0 NGC_0 |
cũa	KI UÔN_3 |
giếu	ZI ÊN_5 UC_5 |
cững	KI ƯN_3 NGC_3 |
mổi	MI ÔN_2 IC_2 |
dướn	ZI ƯƠN_5 NC_5 |
đâỵ	DI ÂN_1 YC_1 |
maỵ	MI AN3_1 YC_1 |
sịu	SI IN_1 UC_1 |
phỏi	PHI ON2_2 IC_2 |
nế	NI ÊN_5 |
húm	HI UN_5 MC_5 |
nhẻo	NHI EN_2 UC_2 |
choằn	CHI WO_4 AN3_4 NC_4 |
chữi	CHI ƯN_3 IC_3 |
ủm	UN_2 MC_2 |
khuỷ	KHI UN_2 YC_2 |
nuơng	NI WO_0 ƠN_0 NGC_0 |
nhén	NHI EN_5 NC_5 |
nều	NI ÊN_4 UC_4 |
vòn	VI ON2_4 NC_4 |
lứ	LI ƯC_5 |
hệu	HI ÊN_1 UC_1 |
hòanh	HI WO_4 AN1_4 NGC_4 |
ngoẽo	NGI WO_3 EN_3 UC_3 |
ưử	ƯN_2 ƯC_2 |
mứ	MI ƯC_5 |
thạ	THI AN2_1 |
lểnh	LI ÊN_2 NGC_2 |
xón	XI ON2_5 NC_5 |
lỗng	LI ÔN_3 NGC_3 |
ngiêng	NGI IÊN_0 NGC_0 |
khươn	KHI ƯƠN_0 NC_0 |
giya	ZI YAN_0 |
viềm	VI IÊN_4 MC_4 |
niểu	NI IÊN_2 UC_2 |
trổng	TRI ÔN_2 NGC_2 |
lớng	LI ƠN_5 NGC_5 |
khõ	KHI ON2_3 |
tướp	TI ƯƠN_5 PC_5 |
thc	THI KC_0 |
ngớn	NGI ƠN_5 NC_5 |
nghạnh	NGI AN1_1 NGC_1 |
nhồn	NHI ÔN_4 NC_4 |
miệnh	MI IÊN_1 NGC_1 |
náng	NI AN1_5 NGC_5 |
hỡ	HI ƠC_3 |
vưng	VI ƯN_0 NGC_0 |
nỏn	NI ON2_2 NC_2 |
tròm	TRI ON2_4 MC_4 |
trõm	TRI ON2_3 MC_3 |
sặn	SI AN3_1 NC_1 |
phọc	PHI ON1_1 KC_1 |
cấ	KI ÂN_5 |
thêt	THI ÊN_0 TC_0 |
xiểm	XI IÊN_2 MC_2 |
gẩm	GI ÂN_2 MC_2 |
trẩy	TRI ÂN_2 YC_2 |
vếu	VI ÊN_5 UC_5 |
bặng	BI AN3_1 NGC_1 |
vuợn	VI WO_1 ƠN_1 NC_1 |
lảu	LI AN3_2 UC_2 |
nhẵng	NHI AN3_3 NGC_3 |
ghếch	GI ÊN_5 KC_5 |
nghiĩ	NGI IN_3 IC_3 |
xỏa	XI WO_2 AN2_2 |
